      rus           |   lat          |      eng
Белоклювая гагара  |  Gavia adamsii  |  Polar ivory-billed loon
Чернозобая гагара  |  Gavia arctica  |  Arctic Loon
Черноклювая гагара  |  Gavia immer  |  
Белошейная гагара  |  Gavia pacifica  |  
Краснозобая гагара  |  Gavia stellata  |  Red-throated Loon
Красношейная поганка  |  Podiceps auritus  |  Horned Grebe
Большая поганка  |  Podiceps cristatus  |  Great Crested Grebe
Серощекая поганка  |  Podiceps grisegena  |  Red-necked Grebe
Черношейная поганка  |  Podiceps nigricollis  |  Black-necked grebe
Малая поганка  |  Tachybaptus ruficollis  |  Little Grebe
Белоспинный альбатрос  |  Phoebastria albatrus  |  Short-tailed Albatross
Темноспинный альбатрос  |  Phoebastria immutabilis  |  
Черноногий альбатрос  |  Phoebastria nigripes  |  
Чернобровый альбатрос  |  Thalassarche melanophris  |  Black-browed Albatross
Средиземноморский буревестник  |  Calonectris diomedea  |  Cory's Shearwater
Пестролицый буревестник  |  Calonectris leucomelas  |  Streaked Shearwater
Глупыш  |  Fulmarus glacialis  |  
Бонинский тайфунник  |  Pterodroma hypoleuca  |  
Пестрый тайфунник  |  Pterodroma inexpectata  |  Mottled Petrel
Тайфунник Соландра  |  Pterodroma solandri  |  Providence Petrel
Буллеров буревестник  |  Puffinus bulleri  |  Buller's Shearwater
Бледноногий буревестник  |  Puffinus carneipes  |  Flesh-footed Shearwater
Буревестник большой пестробрюхий  |  Puffinus gravis  |  Great Shearwater
Серый буревестник  |  Puffinus griseus  |  
Балеарский буревестник  |  Puffinus mauretanicus  |  Balearic Shearwater
Малый буревестник  |  Puffinus puffinus  |  
Тонкоклювый буревестник  |  Puffinus tenuirostris  |  Short-tailed Shearwater
Левантский буревестник  |  Puffinus yelkouan  |  Yelkouan Shearwater
Прямохвостая качурка  |  Hydrobates pelagicus  |  
Мадейрская качурка  |  Oceanodroma castro  |  Band-rumped Storm Petrel
Сизая качурка  |  Oceanodroma furcata  |  Fork-tailed Storm Petrel
Северная качурка  |  Oceanodroma leucorhoa  |  
Малая качурка  |  Oceanodroma monorhis  |  Swinhoe's Storm Petrel
Фрегат-ариэль  |  Fregata ariel  |  Lesser Frigatebird
Кудрявый пеликан  |  Pelecanus crispus in–11  |  
Розовый пеликан  |  Pelecanus onocrotalus range from  |  
Северная олуша  |  Morus bassanus  |  
Бурая олуша  |  Sula leucogaster  |  
Красноногая олуша  |  Sula sula  |  
Хохлатый баклан  |  Phalacrocorax aristotelis  |  
Баклан ушастый  |  Phalacrocorax auritus  |  
Уссурийский баклан  |  Phalacrocorax capillatus  |  
Большой баклан  |  Phalacrocorax carbo  |  Great Cormorant
Берингов баклан  |  Phalacrocorax pelagicus  |  
Стеллеров баклан  |  Phalacrocorax perspicillatus  |  
Малый баклан  |  Phalacrocorax pygmeus  |  
Краснолицый баклан  |  Phalacrocorax urile  |  
Змеешейка чернобрюхая  |  Anhinga melanogaster  |  
Серая цапля  |  Ardea cinerea  |  Grey Heron
Рыжая цапля  |  Ardea purpurea  |  
Белокрылая цапля  |  Ardeola bacchus  |  Chinese Pond-Heron
Цапля индийская прудовая  |  Ardeola grayii  |  Indian Pond Heron
